Date,Adj Close,Close,High,Low,Open,Volume,Date
1994-06-22,26.223772048950195,45.265625,45.421875,45.171875,45.21875,279900,1994-06-22
1994-06-23,26.06987190246582,45.0,45.40625,44.9375,45.34375,922500,1994-06-23
1994-06-24,25.526744842529297,44.0625,44.78125,44.0,44.78125,353800,1994-06-24
1994-06-27,25.970304489135742,44.828125,44.828125,44.015625,44.234375,371200,1994-06-27
1994-06-28,25.84356689453125,44.609375,44.84375,44.25,44.84375,5382300,1994-06-28
1994-06-29,25.925048828125,44.75,45.015625,44.625,44.671875,311800,1994-06-29
1994-06-30,25.762104034423828,44.46875,44.84375,44.3125,44.828125,271900,1994-06-30
1994-07-01,25.81641387939453,44.5625,44.6875,44.375,44.6875,406900,1994-07-01
1994-07-05,25.95218849182129,44.796875,44.859375,44.515625,44.65625,112000,1994-07-05
1994-07-06,25.91598892211914,44.734375,44.8125,44.46875,44.625,174800,1994-07-06
1994-07-07,26.02461051940918,44.921875,44.921875,44.6875,44.734375,66700,1994-07-07
1994-07-08,26.015575408935547,44.90625,44.984375,44.625,44.640625,148400,1994-07-08
1994-07-11,25.925048828125,44.75,45.015625,44.53125,44.9375,124000,1994-07-11
1994-07-12,25.96125030517578,44.8125,44.828125,44.515625,44.765625,257300,1994-07-12
1994-07-13,26.00651741027832,44.890625,45.03125,44.828125,44.828125,532700,1994-07-13
1994-07-14,26.287118911743164,45.375,45.46875,45.078125,45.109375,494200,1994-07-14
1994-07-15,26.296157836914062,45.390625,45.484375,45.328125,45.34375,49100,1994-07-15
1994-07-18,26.3414306640625,45.46875,45.578125,45.390625,45.390625,72300,1994-07-18
1994-07-19,26.287118911743164,45.375,45.5625,45.375,45.546875,609500,1994-07-19
1994-07-20,26.169443130493164,45.171875,45.40625,45.0625,45.40625,185300,1994-07-20
1994-07-21,26.223772048950195,45.265625,45.296875,45.078125,45.171875,86300,1994-07-21
1994-07-22,26.26903533935547,45.34375,45.40625,45.25,45.375,151600,1994-07-22
1994-07-25,26.30522918701172,45.40625,45.453125,45.3125,45.359375,120900,1994-07-25
1994-07-26,26.2780818939209,45.359375,45.421875,45.3125,45.390625,489600,1994-07-26
1994-07-27,26.2780818939209,45.359375,45.359375,45.171875,45.359375,83200,1994-07-27
1994-07-28,26.33238410949707,45.453125,45.578125,45.359375,45.359375,828200,1994-07-28
1994-07-29,26.594890594482422,45.90625,46.046875,45.75,45.765625,459100,1994-07-29
1994-08-01,26.72161293029785,46.125,46.15625,45.890625,45.9375,486300,1994-08-01
1994-08-02,26.75782585144043,46.1875,46.375,46.03125,46.28125,505500,1994-08-02
1994-08-03,26.766876220703125,46.203125,46.234375,46.09375,46.171875,144100,1994-08-03
1994-08-04,26.61299705505371,45.9375,46.21875,45.921875,46.171875,231700,1994-08-04
1994-08-05,26.522480010986328,45.78125,45.84375,45.65625,45.703125,138400,1994-08-05
